trade_date,Open,High,Low,Close,mr,mr_trend,mr_diff1,mr_diff3,mr_diff7,mr_rate,mr_rate_trend,rsi,rsi_trend,rsi_diff1,rsi_diff3,rsi_diff7,rsi_rate_trend,mr_mark,mr_mark_up,mr_mark_down,real_mr_mark,mr_mark_rate,close_ma,close_rate
20150907,3347.293,3422.225,3240.243,3250.485,-286.73,-1,-53.16,-47.69,379.04,-0.79,-1,-39.0,1,4.0,12.0,54.0,1,47.0,0.0,-47.0,-47.0,-0.87,3630.03,-2.88
20150908,3221.789,3340.219,3170.807,3334.023,-181.42,1,105.31,64.84,452.84,0.39,1,-37.0,0,2.0,12.0,58.0,0,22.0,0.0,-22.0,-22.0,0.61,3601.38,-2.03
20150909,3344.824,3426.651,3330.29,3399.305,-101.02,1,80.4,132.55,336.68,1.19,1,-36.0,0,1.0,7.0,19.0,0,11.0,0.0,-11.0,-11.0,1.34,3567.13,-1.27
20150910,3349.281,3398.316,3337.311,3357.561,-128.7,0,-27.68,158.03,138.49,0.79,0,-35.0,0,1.0,4.0,15.0,0,1013.0,1.0,-13.0,-12.0,1.38,3531.67,-1.32
20150911,3349.877,3383.134,3315.478,3347.188,-123.92,0,4.78,57.5,115.12,0.76,0,-33.0,0,2.0,4.0,18.0,0,1012.0,1.0,-12.0,-11.0,1.5,3498.23,-1.15
20150914,3367.642,3373.921,3187.566,3281.132,-180.15,-1,-56.23,-79.13,66.11,0.1,-1,-36.0,0,-3.0,0.0,13.0,0,2023.0,2.0,-23.0,-21.0,1.04,3458.51,-1.35
20150915,3208.744,3240.079,3131.98,3152.232,-269.75,-1,-89.6,-141.05,-36.18,-0.84,-1,-38.0,0,-2.0,-3.0,5.0,0,48.0,0.0,-48.0,-48.0,-0.33,3412.44,-1.97
20150916,3149.158,3345.918,3131.37,3309.248,-104.8,1,164.95,19.12,181.93,0.96,1,-34.0,0,4.0,-1.0,5.0,0,1013.0,1.0,-13.0,-12.0,1.82,3374.01,-0.49
20150917,3287.657,3354.905,3236.999,3236.999,-141.5,0,-36.7,38.65,39.92,0.49,0,-28.0,1,6.0,8.0,9.0,1,1017.0,1.0,-17.0,-16.0,1.6,3344.59,-0.82
20150918,3254.443,3280.877,3227.834,3251.273,-113.66,0,27.84,156.09,-12.64,0.73,0,-27.0,0,1.0,11.0,9.0,0,2014.0,2.0,-14.0,-12.0,1.84,3312.85,-0.47
20150921,3222.603,3312.55,3211.934,3308.247,-48.23,1,65.43,56.57,80.47,1.35,1,-27.0,0,0.0,7.0,8.0,0,5002.0,5.0,-2.0,3.0,2.61,3290.19,0.14
20150922,3312.366,3371.414,3303.184,3339.03,-21.02,1,27.21,120.48,102.9,1.5,1,-24.0,0,3.0,4.0,9.0,0,1000.0,1.0,-0.0,1.0,2.34,3277.66,0.47
20150923,3290.071,3315.935,3253.333,3263.028,-80.85,0,-59.83,32.81,99.3,0.73,0,-20.0,1,4.0,7.0,16.0,1,1003.0,1.0,-3.0,-2.0,1.89,3277.04,-0.11
20150924,3278.896,3300.857,3255.902,3284.999,-48.76,0,32.09,-0.53,220.99,1.0,0,-15.0,1,5.0,12.0,23.0,1,2000.0,2.0,-0.0,2.0,1.77,3289.14,-0.03
20150925,3272.665,3290.858,3201.914,3231.951,-102.49,-1,-53.73,-81.47,2.31,0.34,-1,-9.0,1,6.0,15.0,25.0,1,5.0,0.0,-5.0,-5.0,1.07,3299.45,-0.51
20150928,3226.607,3246.554,3186.507,3242.752,-77.91,0,24.58,2.94,63.59,0.57,0,-9.0,0,0.0,11.0,19.0,0,3.0,0.0,-3.0,-3.0,0.94,3301.31,-0.44
20150929,3197.221,3208.417,3159.042,3178.854,-123.39,-1,-45.48,-74.63,-9.73,0.04,-1,-7.0,0,2.0,8.0,20.0,0,9.0,0.0,-9.0,-9.0,0.49,3293.14,-0.87
20150930,3195.901,3223.908,3186.767,3202.948,-89.81,0,33.58,12.68,-41.58,0.38,0,-5.0,0,2.0,4.0,22.0,0,1001.0,1.0,-1.0,0.0,0.88,3284.96,-0.62
20151008,3324.981,3337.331,3294.605,3296.482,0.05,1,89.86,77.96,21.07,1.29,1,0.0,1,5.0,9.0,24.0,1,0.0,0.0,-0.0,0.0,0.76,3281.68,0.11
20151009,3302.36,3352.379,3293.965,3340.116,33.83,1,33.78,157.22,114.68,1.52,1,4.0,1,4.0,11.0,24.0,1,0.0,0.0,-0.0,0.0,0.65,3280.39,0.45
20151012,3351.139,3486.631,3347.251,3447.693,126.48,1,92.65,216.29,175.24,2.34,1,5.0,0,1.0,10.0,20.0,0,5000.0,5.0,-0.0,5.0,0.78,3290.25,1.19
20151013,3422.477,3452.045,3413.967,3445.043,116.69,0,-9.79,116.64,219.18,2.02,0,6.0,0,1.0,6.0,15.0,0,3000.0,3.0,-0.0,3.0,0.6,3295.8,1.13
20151014,3431.135,3458.702,3403.231,3406.112,76.79,0,-39.9,42.96,154.7,1.41,-1,11.0,1,5.0,7.0,20.0,1,2000.0,2.0,-0.0,2.0,0.5,3296.14,0.83
20151015,3403.389,3486.815,3402.316,3486.815,134.52,0,57.73,8.04,257.91,1.88,0,16.0,1,5.0,11.0,23.0,1,9000.0,9.0,-0.0,9.0,0.84,3302.61,1.4
20151016,3508.518,3537.539,3487.104,3534.065,156.79,1,22.27,40.1,246.6,1.93,0,20.0,1,4.0,14.0,25.0,1,14000.0,14.0,-0.0,14.0,1.06,3311.95,1.68
20151019,3548.953,3572.995,3502.505,3534.182,141.12,0,-15.67,64.33,141.07,1.58,0,24.0,1,4.0,13.0,24.0,1,15000.0,15.0,-0.0,15.0,1.01,3324.6,1.59
20151020,3527.875,3577.798,3510.437,3577.703,165.86,1,24.74,31.34,132.03,1.69,0,30.0,1,6.0,14.0,26.0,1,22000.0,22.0,-0.0,22.0,1.21,3345.88,1.76
20151021,3580.838,3601.243,3417.412,3473.254,49.53,-1,-116.33,-107.26,-76.95,0.31,-1,32.0,0,2.0,12.0,27.0,0,9000.0,9.0,-0.0,9.0,0.41,3354.08,0.9
