trade_date,obv,obv_rate,obv_trend,obv_rate_trend,net_flow_ratio,net_flow_ratio_ema_7
20150907,1.98,0.17,-1,-1,-0.4754,-0.36926521177100996
20150908,72.18,0.7,1,1,0.224,-0.22094890882825746
20150909,173.01,1.42,1,1,-0.0173,-0.1700366816211931
20150910,116.46,0.84,0,0,-0.2098,-0.1799775112158948
20150911,102.32,0.65,0,0,-0.1621,-0.17550813341192112
20150914,36.02,0.07,-1,-1,-0.51,-0.25913110005894086
20150915,-41.81,-0.54,-1,-1,-0.3009,-0.2695733250442056
20150916,48.3,0.21,0,0,0.2898,-0.1297299937831542
20150917,-10.45,-0.26,0,0,-0.1052,-0.12359749533736565
20150918,24.53,0.03,0,0,-0.0973,-0.11702312150302424
20150921,107.32,0.68,1,1,0.2762,-0.01871734112726818
20150922,130.13,0.79,1,1,-0.1554,-0.05288800584545114
20150923,77.6,0.3,0,0,-0.2045,-0.09079100438408835
20150924,125.62,0.65,0,0,-0.1862,-0.11464325328806627
20150925,53.3,0.02,-1,-1,-0.4466,-0.1976324399660497
20150928,103.28,0.41,0,0,0.1345,-0.11459932997453728
20150929,42.56,-0.1,-1,-1,-0.225,-0.14219949748090296
20150930,75.93,0.17,0,0,-0.0402,-0.11669962311067722
20151008,222.75,1.3,1,1,-0.0952,-0.11132471733300792
20151009,303.27,1.8,1,1,0.1277,-0.051568537999755935
20151012,432.86,2.64,1,1,-0.0458,-0.05012640349981695
20151013,380.04,1.98,0,0,-0.1126,-0.06574480262486271
20151014,267.02,0.91,-1,-1,-0.3531,-0.13758360196864705
20151015,376.55,1.68,0,0,0.2783,-0.03361270147648529
20151016,432.22,1.95,1,0,-0.1736,-0.06860952610736397
20151019,372.05,1.3,0,0,-0.2279,-0.10843214458052297
20151020,425.75,1.59,0,0,0.0006,-0.08117410843539223
20151021,253.71,0.1,-1,-1,-0.688,-0.23288058132654416
20151022,346.0,0.81,0,0,0.0408,-0.16446043599490812
20151023,431.24,1.4,0,0,-0.042,-0.1338453269961811
20151026,430.98,1.26,0,0,-0.1992,-0.15018399524713583
20151027,341.07,0.44,-1,-1,-0.1101,-0.14016299643535188
20151028,241.08,-0.38,-1,-1,-0.3269,-0.18684724732651392
20151029,254.12,-0.24,0,0,-0.0585,-0.15476043549488544
20151030,228.97,-0.42,0,0,-0.0098,-0.11852032662116407
20151102,179.65,-0.76,-1,-1,-0.1755,-0.13276524496587305
20151103,169.48,-0.77,-1,0,-0.1543,-0.1381489337244048
20151104,351.12,0.72,1,1,0.5025,0.02201329970669641
20151105,467.16,1.56,1,1,-0.3525,-0.07161502521997769
20151106,560.48,2.14,1,1,0.1347,-0.020036268914983266
20151109,563.79,1.96,0,0,-0.1848,-0.06122720168623745
20151110,456.47,0.94,-1,-1,-0.3341,-0.12944540126467807
20151111,426.5,0.61,-1,-1,-0.095,-0.12083405094850855
20151112,355.05,-0.0,-1,-1,-0.2928,-0.1638255382113814
20151113,259.43,-0.75,-1,-1,-0.4777,-0.24229415365853607
20151116,278.14,-0.53,0,0,-0.0147,-0.18539561524390205
20151117,237.14,-0.8,-1,0,-0.6349,-0.2977717114329266
20151118,175.49,-1.2,-1,-1,-0.4421,-0.3338537835746949
20151119,242.09,-0.57,0,0,0.1735,-0.2070153376810212
20151120,225.43,-0.65,0,0,-0.2458,-0.2167115032607659
