trade_date,assets,close
20231016,1501154.06,3073.813
20231017,1499368.04,3083.4964
20231018,1495111.24,3058.7098
20231019,1491118.34,3005.3934
20231020,1481689.42,2983.0585
20231023,1465091.57,2939.2913
20231024,1476449.47,2962.2437
20231025,1484698.32,2974.1135
20231026,1514471.18,2988.2992
20231027,1521525.18,3017.7842
20231030,1551054.18,3021.5534
20231031,1541263.33,3018.7706
20231101,1546070.18,3023.0765
20231102,1519088.18,3009.4058
20231103,1560526.18,3030.7977
20231106,1583283.64,3058.4105
20231107,1600538.01,3057.2697
20231108,1599163.96,3052.3726
20231109,1598365.96,3053.2792
20231110,1597624.96,3038.9699
20231113,1596997.96,3046.5329
20231114,1596940.96,3056.0703
20231115,1596883.96,3072.8348
20231116,1596484.96,3050.9257
20231117,1596028.96,3054.3655
20231120,1596199.96,3068.3191
20231121,1597453.96,3067.9328
20231122,1597510.96,3043.611
20231123,1599790.96,3061.8562
20231124,1600271.61,3040.9717
20231127,1600271.61,3031.7002
20231128,1600271.61,3038.5545
20231129,1600271.61,3021.6874
20231130,1600271.61,3029.6727
20231201,1600271.61,3031.6358
20231204,1600271.61,3022.9138
20231205,1600271.61,2972.2959
20231206,1600271.61,2968.9334
20231207,1600271.61,2966.2061
20231208,1600271.61,2969.5594
20231211,1600271.61,2991.4385
20231212,1602153.1,3003.4378
20231213,1602027.1,2968.7606
20231214,1601271.1,2958.9856
20231215,1602027.1,2942.5568
20231218,1600557.1,2930.8036
20231219,1600431.1,2932.3908
20231220,1599801.1,2902.1096
20231221,1602928.99,2918.7149
20231222,1606092.99,2914.7752
